review_id,review_rating,review_text,review_date,reviewer_id,product_id
REV20000,2,good,2025-06-06,CUST2353,PROD108
REV20001,2,average,2023-08-05,CUST4463,PROD103
REV20002,5,good,2023-01-03,CUST4512,PROD111
REV20003,2,very good,2023-03-14,CUST5711,PROD107
REV20004,1,very good,2023-10-18,CUST1296,PROD105
REV20005,3,very good,2023-02-14,CUST2790,PROD108
REV20006,4,very good,2023-12-29,CUST2442,PROD106
REV20007,1,very good,2025-06-02,CUST2451,PROD103
REV20008,3,bad,2024-06-10,CUST2364,PROD102
REV20009,5,very good,2024-12-03,CUST4713,PROD107
REV20010,2,very good,2025-07-18,CUST1469,PROD107
REV20011,4,good,2025-04-26,CUST5953,PROD113
REV20012,1,very bad,2024-12-28,CUST1438,PROD109
REV20013,1,very good,2023-12-26,CUST2488,PROD100
REV20014,3,very bad,2024-09-11,CUST1413,PROD112
REV20015,3,bad,2025-01-28,CUST2160,PROD105
REV20016,1,good,2024-11-20,CUST3830,PROD109
REV20017,2,good,2023-10-25,CUST4174,PROD113
REV20018,1,very bad,2022-09-09,CUST3281,PROD110
REV20019,4,bad,2024-10-05,CUST3410,PROD108
REV20020,4,bad,2024-07-27,CUST3147,PROD112
REV20021,1,bad,2023-04-22,CUST4051,PROD112
REV20022,1,average,2024-02-07,CUST1089,PROD104
REV20023,1,good,2024-11-06,CUST2314,PROD109
REV20024,5,very bad,2024-11-08,CUST5205,PROD100
REV20025,2,average,2023-06-05,CUST2997,PROD105
REV20026,4,average,2024-03-10,CUST2945,PROD109
REV20027,4,good,2023-05-03,CUST3650,PROD101
REV20028,2,very good,2024-01-16,CUST5755,PROD108
REV20029,5,very good,2024-12-04,CUST2895,PROD102
REV20030,2,very bad,2025-02-03,CUST3589,PROD101
REV20031,4,bad,2025-06-07,CUST5161,PROD107
REV20032,1,very good,2024-11-12,CUST2370,PROD105
REV20033,5,very bad,2024-10-07,CUST4430,PROD109
REV20034,3,good,2022-10-05,CUST3021,PROD101
REV20035,5,average,2024-02-20,CUST1182,PROD113
REV20036,3,good,2023-10-24,CUST4791,PROD102
REV20037,1,bad,2024-12-26,CUST3310,PROD100
REV20038,2,very good,2023-08-27,CUST3661,PROD100
REV20039,1,good,2024-12-08,CUST1500,PROD104
REV20040,2,good,2023-09-17,CUST5684,PROD103
REV20041,4,very bad,2024-10-26,CUST1186,PROD109
REV20042,5,bad,2025-05-29,CUST1241,PROD106
REV20043,1,very good,2023-08-17,CUST4082,PROD108
REV20044,2,good,2024-10-13,CUST3728,PROD103
REV20045,1,average,2024-06-08,CUST1742,PROD112
REV20046,4,good,2024-10-19,CUST3349,PROD101
REV20047,1,average,2024-12-07,CUST4751,PROD112
REV20048,3,very good,2025-04-30,CUST2954,PROD110
REV20049,3,very bad,2024-05-05,CUST4905,PROD103
REV20050,4,bad,2024-02-26,CUST4613,PROD107
REV20051,3,good,2023-04-19,CUST1209,PROD108
REV20052,3,bad,2023-08-23,CUST5685,PROD108
REV20053,2,very bad,2025-01-03,CUST2016,PROD111
REV20054,3,bad,2023-03-13,CUST5282,PROD102
REV20055,3,good,2024-05-03,CUST5144,PROD100
REV20056,3,average,2024-12-01,CUST2871,PROD112
REV20057,3,very bad,2023-07-10,CUST4853,PROD108
REV20058,2,very bad,2025-07-24,CUST3810,PROD105
REV20059,3,very good,2022-11-21,CUST4294,PROD100
REV20060,1,very bad,2024-07-31,CUST3033,PROD107
REV20061,5,good,2024-01-21,CUST3784,PROD112
REV20062,5,very good,2022-12-29,CUST2808,PROD110
REV20063,1,bad,2022-09-23,CUST2357,PROD114
REV20064,2,very bad,2024-05-02,CUST2617,PROD102
REV20065,5,very good,2025-05-11,CUST4265,PROD106
REV20066,1,average,2024-06-20,CUST3414,PROD105
REV20067,2,very good,2023-05-14,CUST3933,PROD113
REV20068,1,good,2025-03-11,CUST3963,PROD113
REV20069,2,very good,2024-06-09,CUST3029,PROD103
REV20070,2,very good,2024-02-12,CUST2383,PROD105
REV20071,3,good,2022-11-17,CUST1138,PROD113
REV20072,3,bad,2024-12-26,CUST4400,PROD106
REV20073,1,bad,2024-11-13,CUST1693,PROD102
REV20074,4,very good,2022-12-07,CUST1371,PROD105
REV20075,1,good,2025-06-26,CUST5445,PROD112
REV20076,3,very bad,2024-04-18,CUST1539,PROD105
